animal,LRS,breeding_years,bred_in_2024,sex_genome,het,roh,hom_load_CADD,hom_load_SnpEff,offspring,weights
594332,13,4,0,F,3.61e-5,0.381374722,0.028015776,1.4504e-4,18,1
594337,13,5,0,F,3.72e-5,0.373301775,0.029635458,1.97087e-4,8,1
594341,3,1,0,M,3.47e-5,0.357605255,0.027368734,2.37621e-4,2,1
594342,8,3,0,M,3.68e-5,0.346530587,0.031845323,1.69488e-4,8,1
594345,1,1,0,F,3.75e-5,0.363816725,0.032730176,1.96976e-4,11,1
594350,2,1,0,F,3.35e-5,0.419731512,0.036533443,2.50357e-4,9,1
594387,0,3,0,M,2.55e-5,0.566631137,0.033130398,2.89388e-4,0,1
596306,9,3,0,M,3.38e-5,0.455015914,0.033980583,2.45878e-4,2,1
5A12345,20,8,0,M,3.6e-5,0.425372954,0.034135422,2.22593e-4,6,1
5A12512,4,0,0,F,3.66e-5,0.40772623,0.032312704,2.33532e-4,10,1
5A12515,16,9,0,F,3.2e-5,0.458905293,0.035070509,2.40016e-4,8,1
5A12527,0,0,0,M,2.55e-5,0.579867401,0.037438424,2.38585e-4,0,1
5A12529,6,3,0,F,3.68e-5,0.377419463,0.028205128,1.87185e-4,21,1
5A12533,12,4,0,F,4.21e-5,0.352359913,0.029145729,1.84763e-4,17,1
5A19613,6,1,1,F,3.25e-5,0.423512898,0.030640304,2.4043e-4,NA,0
5A19617,8,2,1,M,2.77e-5,0.528460395,0.032172373,2.73922e-4,NA,0
5A19933,3,0,1,M,2.73e-5,0.527559546,0.03935552,2.1327e-4,NA,0
5A19951,0,0,0,F,3.61e-5,0.370923862,0.027666451,2.0589e-4,NA,1
