Season	Time	Length	Width	Weight/g
1940	historical	36.90 	31.60 	19.3
1940	historical	38.00 	30.20 	18.2
1940	historical	38.00 	31.10 	19.3
1940	historical	36.90 	31.60 	19.3
1940	historical	38.80 	31.00 	19.6
1940	historical	36.10 	30.50 	17.6
1940	historical	36.20 	30.60 	17.8
1940	historical	38.00 	31.50 	19.8
1940	historical	35.80 	30.85 	17.9
1940	historical	35.20 	29.40 	16.0
1919	historical	34.70 	30.60 	17.1
1920	historical	37.70 	30.60 	18.5
1860	historical	35.70 	30.60 	17.5
1860	historical	38.80 	29.90 	18.2
1981	early	35.90 	29.90 	16.8
1981	early	36.30 	30.30 	17.5
1981	early	37.10 	29.80 	17.3
1981	early	36.30 	30.10 	17.3
1981	early	39.20 	29.60 	18.0
1982	early	38.00 	29.70 	17.6
1982	early	37.00 	27.80 	15.0
1983	early	37.15 	28.30 	15.6
1983	early	37.90 	28.30 	15.9
1983	early	36.30 	29.40 	16.5
1983	early	33.60 	29.20 	15.0
1983	early	36.70 	29.60 	16.9
1983	early	36.20 	29.60 	16.6
1983	early	36.40 	30.80 	18.1
1983	early	36.30 	29.20 	16.2
1983	early	37.80 	29.60 	17.4
1983	early	36.60 	29.70 	16.9
1983	early	34.90 	28.80 	15.2
1978	early	32.80 	29.80 	15.3
1978	early	34.40 	28.40 	14.6
1978	early	33.80 	28.80 	14.7
1978	early	34.70 	28.10 	14.4
1978	early	33.80 	28.80 	14.7
1978	early	34.60 	29.70 	16.0
1978	early	32.00 	28.10 	13.3
1978	early	33.10 	28.30 	13.9
1979	early	33.40 	29.50 	15.3
1979	early	35.80 	27.90 	14.6
1978	early	34.00 	28.00 	14.0
1978	early	35.10 	28.80 	15.3
1979	early	36.20 	29.10 	16.1
1979	early	33.20 	26.90 	12.6
1983	early	35.10 	28.90 	15.4
1983	early	34.80 	29.90 	16.3
1983	early	35.10 	29.80 	16.4
2016	recent	35.30 	30.25 	17.0
2016	recent	35.30 	29.35 	16.0
2016	recent	33.40 	26.90 	12.7
2016	recent	35.20 	28.20 	14.7
2016	recent	36.80 	27.50 	14.6
2016	recent	35.70 	29.10 	15.9
2016	recent	36.40 	28.30 	15.3
2017	recent	37.2	29.4	16.9
2017	recent	39.9	27.9	16.3
2017	recent	37.1	29	16.4
2017	recent	35.9	29.4	16.3
2017	recent	36.3	30.1	17.3
2017	recent	35.6	29.1	15.8
2017	recent	36.3	29.5	16.6
2017	recent	35.4	28.9	15.5
2017	recent	33.8	28.7	14.6
2017	recent	35.1	29.7	16.2
2017	recent	36.2	28.7	15.6
2017	recent	36.6	29.1	16.3
2017	recent	36.9	29.3	16.6
2017	recent	35	29.9	16.4
2017	recent	38.5	29.6	17.7
2017	recent	34.9	28.2	14.6
2017	recent	34.9	28.5	14.9
2017	recent	35.2	27.4	13.9
2017	recent	36	28.3	15.1
2017	recent	34.6	28.4	14.6
2017	recent	34.2	28.7	14.8
2017	recent	34.7	28.3	14.6
2017	recent	34.3	28.6	14.7
2017	recent	35.6	29.1	15.8
2017	recent	35.1	29.4	15.9
2017	recent	36	29	15.9
2017	recent	35	28.8	15.2
2017	recent	35.6	28.7	15.4
2017	recent	35.3	29	15.6
2017	recent	36.5	29.3	16.4
2017	recent	36.9	29.7	17.1
2017	recent	36	29.5	16.4
2017	recent	35.6	28.2	14.9
2017	recent	35.1	28.9	15.4
2017	recent	35.5	28.5	15.1
2017	recent	35.8	28.3	15.0
2018	recent	40.1	27.3	15.7
2018	recent	38.2	28.2	15.9
2018	recent	38.2	28.7	16.5
2018	recent	35.1	29	15.5
2018	recent	34	30.1	16.2
2018	recent	35.9	29.5	16.4
2018	recent	34.2	29.5	15.6
2018	recent	34.2	29	15.1
2018	recent	34.9	29.1	15.5
2018	recent	35.1	27.4	13.8
2018	recent	38.2	30.1	18.2
2018	recent	36	30.4	17.5
2018	recent	39.8	29.5	18.2
2018	recent	38.9	30.5	19.0
2018	recent	38.3	29.9	18.0
2018	recent	37.7	28.5	16.1
2018	recent	37.2	29.2	16.6
2018	recent	37.8	29.5	17.3
2018	recent	36.5	29.8	17.0
2018	recent	36.5	29	16.1
2018	recent	35.1	28.8	15.3
2018	recent	35.4	29.6	16.3
2018	recent	35.8	28.5	15.3
2018	recent	36	29.3	16.2
2018	recent	34.2	29	15.1
2018	recent	38.2	30.5	18.6
2018	recent	38.2	29.5	17.4
2018	recent	37.5	28.7	16.2
2018	recent	36.1	29.7	16.7
2018	recent	35.5	30.2	17.0
2018	recent	37.7	28	15.5
2018	recent	36.8	28.3	15.5
2018	recent	35.8	29.7	16.6
2018	recent	37.2	29.4	16.9
2018	recent	35.2	28.5	15.0
2018	recent	36	29.1	16.0
2019	recent	36.5	29.6	16.8
2019	recent	37.2	29.8	17.3
2019	recent	36	29.5	16.4
2019	recent	35.05	30	16.6
2019	recent	37.6	27.9	15.4
2019	recent	34.4	29.3	15.5
2019	recent	34.3	28.9	15.0
2019	recent	34.6	29.9	16.2
2019	recent	36.6	27.5	14.5
2019	recent	33.7	27.7	13.6
2019	recent	37	30	17.5
2019	recent	35.4	29.98	16.7
2019	recent	34.5	29.98	16.3
2019	recent	34.9	29.98	16.5
2019	recent	36.8	30	17.4
2019	recent	34.8	28.9	15.3
2019	recent	35.9	28.8	15.6
2019	recent	36.5	29.5	16.7
2019	recent	36.6	30.4	17.8
2019	recent	36.5	30.1	17.4
2019	recent	36.4	29.5	16.6
2019	recent	38.6	30	18.2
2019	recent	35.5	30.5	17.3
2019	recent	37.6	29.5	17.2
2019	recent	37	29.9	17.4
2019	recent	37.7	29.3	17.0
2019	recent	34.9	29.1	15.5
2019	recent	35.5	29.4	16.1
2019	recent	37.9	29.6	17.4
2019	recent	37.4	29.5	17.1
2019	recent	37.2	30	17.6
2021	recent	34.6	29.6	15.9
2021	recent	37.3	28.8	16.2
2021	recent	35.9	29.6	16.5
2021	recent	37.3	29	16.5
2021	recent	35	30.1	16.6
2021	recent	36.1	29.5	16.5
2021	recent	35.9	29.3	16.2
2021	recent	36.7	29	16.2
2021	recent	37	28.5	15.8
2021	recent	38.7	28.7	16.7
2021	recent	37.6	29.2	16.8
2021	recent	36	29.9	16.9
2021	recent	37	30	17.5
2021	recent	36.3	30.2	17.4
2021	recent	34	29.1	15.1
2021	recent	35.5	29.4	16.1
