sample	species	group	ROH	FROH	DP4	nRefHom	nNonRefHom	nHets	het	nTransitions	nTransversions	depth	nSingletons	nMissing	high_hom	high_het	high_total	moderate_hom	moderate_het	moderate_total	cadd_01_hom	cadd_01_het	cadd_01_total	cadd_05_hom	cadd_05_het	cadd_10_hom	cadd_10_het	cadd_25_hom	cadd_25_het
CanK_C5971	Canary	none	40402511	0.036741663	821016872	24648696	3499064	2459967	0.002996244	4253110	1705921	19.92699093	54546	756144	7.09E-05	4.47E-05	0.000186586	0.003081943	0.00128729	0.007451177	0.000332857	0.000621918	0.001287633	0.008514142	0.015828246	0.026759984	0.051006018	0.099375454	0.181179542
CanK_C5973	Canary	none	7565896	0.006880354	878052844	24923758	3277087	2847763	0.003243271	4371991	1752859	23.95292242	33713	315263	6.95E-05	4.71E-05	0.000186096	0.002945435	0.001430803	0.007321672	0.000277584	0.00085066	0.001405827	0.006778417	0.01875929	0.022457422	0.059662601	0.080651516	0.217088415
CanK_C5975	Canary	none	19150860	0.017415612	788448610	24632582	3399570	2628882	0.003334246	4300551	1727901	19.42351864	38450	702837	6.20E-05	4.55E-05	0.000169574	0.002804127	0.001316585	0.006924839	0.000320628	0.000580597	0.001221853	0.007998371	0.016282707	0.025641581	0.051629787	0.094593951	0.192125548
CanK_C5976	Canary	none	3453414	0.003140502	659294355	24269597	2785273	2819831	0.004277044	4023027	1582077	17.25582926	42428	1489170	6.42E-05	5.69E-05	0.000185359	0.002906157	0.001571859	0.007384173	0.000226682	0.000748049	0.001201412	0.005213676	0.019199927	0.016808437	0.064388895	0.06279079	0.247955616
CanK_C5977	Canary	none	8030112	0.007302508	764829313	24051633	3215489	2869630	0.003751987	4348104	1737015	29.06547657	21857	1227119	6.98E-05	5.64E-05	0.000195975	0.003053658	0.00153084	0.007638156	0.000333578	0.000739282	0.001406438	0.007501003	0.018112398	0.0233054	0.057186132	0.08412483	0.208333146
CanK_C5978	Canary	none	4559054	0.004145961	931995582	25044785	3357181	2838194	0.003045287	4418336	1777039	31.02354773	25745	123711	6.97E-05	4.80E-05	0.000187436	0.002958966	0.001365111	0.007283043	0.000283668	0.000653297	0.001220634	0.006876811	0.018661945	0.023037315	0.058874094	0.086699389	0.208135267
GK1	Greater 	none	5668896	0.005155241	875176562	23493052	4456918	1844132	0.002107154	4482213	1818837	19.42361737	9268	1569769	6.94E-05	4.37E-05	0.000182486	0.003009728	0.001240879	0.007260335	0.00053719	0.000716253	0.001790634	0.013533058	0.011900826	0.041949036	0.036418733	0.141212121	0.119655647
GK10	Greater 	none	3465744	0.003151715	746042272	24299788	4531491	1986000	0.002662048	4633648	1883843	22.80343503	6137	546592	7.11E-05	3.91E-05	0.000181228	0.003004538	0.001197818	0.007206893	0.000551501	0.000571678	0.001674681	0.013215859	0.012839224	0.040710226	0.039936779	0.137599623	0.128930289
GK2	Greater 	none	0	0	734843552	23438103	4423348	1896423	0.002580717	4493777	1825994	20.32688217	7036	1605997	6.56E-05	4.92E-05	0.00018046	0.002968276	0.00130095	0.007237503	0.00051977	0.000609864	0.001649405	0.012924956	0.012626954	0.040244084	0.038982775	0.137600532	0.12757243
GK3	Greater 	none	4530347	0.004119855	611830979	22304460	4269188	1828999	0.002989386	4337172	1761015	16.27761815	5850	2961224	7.03E-05	4.79E-05	0.000188445	0.003005134	0.001412408	0.007422675	0.000500377	0.000714824	0.001715579	0.013059842	0.012852542	0.040995179	0.038743482	0.137146207	0.126788401
GK4	Greater 	none	0	0	529453948	21855938	4190390	1781765	0.003365288	4249828	1722327	16.4400358	6308	3535778	7.09E-05	5.10E-05	0.000192844	0.002976729	0.001362527	0.007315984	0.000556807	0.000549481	0.001663095	0.01340733	0.012396286	0.041335605	0.038097331	0.138659633	0.125325567
GK5	Greater 	none	0	0	660185007	23468420	4424238	1965451	0.002977122	4546958	1842731	17.72222923	6010	1505762	7.44E-05	4.07E-05	0.000189633	0.002961672	0.001338458	0.007261803	0.000481354	0.000605131	0.00156784	0.013202863	0.01203386	0.040701952	0.038460216	0.135886345	0.129064866
GK6	Greater 	none	4503429	0.004095376	509064940	21637097	4158306	1767160	0.003471384	4214752	1710714	15.71625855	7590	3801308	6.76E-05	5.03E-05	0.000185473	0.002934874	0.001381513	0.007251261	0.000565254	0.000572595	0.001703102	0.012861359	0.01272188	0.040977228	0.03854003	0.137870535	0.124487968
GK7	Greater 	none	3465744	0.003151715	702287249	23160050	4389013	1904076	0.00271125	4478223	1814866	18.56316105	5295	1910732	6.94E-05	4.73E-05	0.000186136	0.00304679	0.001348903	0.007442484	0.000514355	0.000576912	0.001605622	0.013282871	0.012643403	0.040919027	0.038625282	0.136568209	0.127712962
GK8	Greater 	none		0	647950129	23076581	4365123	1876193	0.002895582	4440805	1800511	17.67304988	6496	2045974	6.96E-05	4.89E-05	0.000188063	0.003022229	0.001319746	0.007364204	0.000499393	0.000647101	0.001645888	0.01304753	0.012984227	0.040922119	0.039058186	0.137375371	0.127028785
GK9	Greater 	none	3468246	0.00315399	542910787	22040456	4224900	1790545	0.003298046	4282214	1733231	17.20593326	7909	3307970	7.15E-05	4.54E-05	0.000188409	0.00302625	0.001423203	0.007475703	0.000487942	0.000706423	0.001682306	0.013327362	0.012475284	0.041343952	0.038372605	0.138910434	0.125007738
LK1	Lesser 	none	3598314	0.003272273	764784706	20702928	5940728	3429302	0.00448401	6727795	2642235	19.74287702	30754	1290913	3.84E-05	0.000106557	0.000183417	0.001328755	0.00328695	0.005944459	0.000540786	0.000401493	0.001483066	0.012880548	0.009869351	0.039915768	0.03310268	0.137294184	0.120705972
LK2	Lesser 	none	0	0	621258035	19967660	5799873	3415066	0.005497017	6616324	2598615	16.49808093	28228	2181272	3.49E-05	9.93E-05	0.000169018	0.00118001	0.003448517	0.005808537	0.000532264	0.000328507	0.001393036	0.012882461	0.009389476	0.039878245	0.03245981	0.137656872	0.11969295
LK3	Lesser 	none	0	0	720758826	20683603	5915190	3444154	0.004778511	6717924	2641420	19.2763007	27296	1320924	3.30E-05	0.000110652	0.000176748	0.001269697	0.003324583	0.005863978	0.000532268	0.000327549	0.001392085	0.01283584	0.009748688	0.039596623	0.033029258	0.13689516	0.120804297
LK4	Lesser 	none	3468240	0.003153985	791841234	21073396	6012032	3493607	0.004412004	6820675	2684964	20.65195327	29309	784836	3.58E-05	0.000119217	0.000190804	0.001334217	0.003319477	0.00598791	0.00057118	0.000378105	0.001520466	0.013008431	0.009537103	0.039890108	0.032673928	0.137147638	0.120808663
LK5	Lesser 	none	3468240	0.003153985	710836229	20650149	5913227	3428302	0.004822914	6705969	2635560	19.46696088	26769	1372193	3.18E-05	0.000115562	0.000179136	0.001304159	0.003296939	0.005905257	0.000534281	0.000464414	0.001532976	0.013048794	0.009666382	0.039861498	0.03291995	0.137314414	0.119358451
LK6	Lesser 	none	3607181	0.003280336	600740589	19424932	5585029	3414087	0.00568313	6460997	2538119	16.55447055	28385	2939823	3.34E-05	0.000122192	0.000189083	0.001146085	0.003769399	0.006061569	0.000510095	0.000420078	0.001440267	0.012795233	0.010094732	0.039277294	0.033962022	0.134892194	0.12423593
LK7	Lesser 	none	3602316	0.003275912	627877133	19599483	5597115	3413759	0.005436986	6470295	2540579	17.52662176	27571	2753514	3.85E-05	0.000130415	0.000207479	0.00112368	0.003741866	0.005989225	0.000566653	0.000447358	0.001580664	0.012871121	0.009709793	0.039725365	0.032716761	0.136388716	0.121655735
LK8	Lesser 	none	3597675	0.003271692	484740826	18293315	5279247	3187112	0.006574878	6076145	2390214	15.95480993	35447	4604197	2.98E-05	0.000121197	0.000180864	0.000997921	0.00375451	0.005750352	0.000534961	0.00039442	0.001464341	0.01282092	0.009656492	0.039972436	0.032732334	0.136981644	0.120597342
MadKes1	Madagascar	Madagascar	0	0	936808323	27044636	3412098	754513	0.000805408	2951889	1214722	30.09598304	122	152624	9.00E-05	2.37E-05	0.000203753	0.003476634	0.000647876	0.007601143	0.000683193	0.000349541	0.001715927	0.015284459	0.007793167	0.049197844	0.02161591	0.165062619	0.065364098
MadKes2	Madagascar	Madagascar	0	0	862063089	26632815	3395835	754335	0.000875035	2939092	1211078	24.03697535	37	580886	8.83E-05	2.44E-05	0.000201076	0.003449992	0.000662668	0.007562652	0.000687219	0.000359592	0.00173403	0.015214716	0.007847086	0.049256045	0.021671381	0.165028528	0.065597481
MadKes3	Madagascar	Madagascar	0	0	738083406	27264194	3406230	551568	0.000747298	2811306	1146492	29.41357781	16604	141879	9.75E-05	2.81E-05	0.000222973	0.003781593	0.000748468	0.008311654	0.000686257	0.000338994	0.001711508	0.015775635	0.006052288	0.051485787	0.016387479	0.171216907	0.049890034
MadKes343	Madagascar	Madagascar	0	0	957624480	24299030	3097397	698437	0.000729343	2713718	1082116	28.16872931	26	3269007	8.85E-05	1.92E-05	0.000196247	0.003518534	0.000458626	0.007495694	0.000694094	0.000540852	0.00192904	0.015702748	0.00857251	0.049821519	0.02288707	0.164860821	0.06786796
MadKes4	Madagascar	Madagascar	0	0	962923018	27101987	3413411	736648	0.000765012	2942663	1207396	32.73925934	1585	111825	9.03E-05	2.43E-05	0.000204786	0.003483479	0.000639754	0.007606713	0.000677666	0.000478353	0.001833685	0.015211611	0.007948625	0.04957327	0.021517892	0.165828885	0.064314501
MK_413	Mauritius 	early	489786503	0.445407229	991938504	31186783	66832	105555	0.000106413	123328	49059	65.79808424	0	4701	9.57E-05	9.11E-06	0.000200563	0.003894125	0.000182845	0.007971095	0.000812041	0.000205061	0.001829143	0.016905221	0.001689702	0.052233113	0.003879752	0.16757577	0.009752697
MK_421	Mauritius 	early	421323876	0.383147961	981220254	31163106	68653	118639	0.00012091	133651	53641	40.1841413	0	13473	9.55E-05	8.76E-06	0.000199864	0.003866053	0.000202456	0.007934563	0.000811835	0.000205009	0.001828678	0.016810719	0.002058288	0.052072229	0.004534794	0.167418366	0.011496892
