sample	species	group	population	FROH	het	high_hom	high_het	high_all	moderate_hom	moderate_het	moderate_all	low_hom	low_het	low_all	cadd_01_hom	cadd_01_het	cadd_01_total	cadd_05_hom	cadd_05_het	cadd_05_total	cadd_10_hom	cadd_10_het	cadd_10_total	cadd_25_hom	cadd_25_het	cadd_25_total	FROH_100k	het_out_roh	het_out_roh_100k	cadd_01_hom_out_roh	cadd_01_het_out_roh	cadd_05_hom_out_roh	cadd_05_het_out_roh	modifier_hom	modifier_het	modifier_all	high_hom_raw	high_het_raw	high_all_raw	moderate_hom_raw	moderate_het_raw	moderate_all_raw	low_hom_raw	low_het_raw	low_all_raw	high_hom_corr	high_het_corr	high_all_corr	moderate_hom_corr	moderate_het_corr	moderate_all_corr	low_hom_corr	low_het_corr	low_all_corr	cadd_01_hom_raw	cadd_01_het_raw	cadd_01_total_raw	cadd_05_hom_raw	cadd_05_het_raw	cadd_05_total_raw	cadd_10_hom_raw	cadd_10_het_raw	cadd_10_total_raw	cadd_25_hom_raw	cadd_25_het_raw	cadd_25_total_raw	cadd_50_hom_raw	cadd_50_het_raw	cadd_50_total_raw	cadd_neutral_hom_raw	cadd_neutral_het_raw	cadd_neutral_total_raw	cadd_01_hom_corr	cadd_01_het_corr	cadd_01_total_corr	cadd_05_hom_corr	cadd_05_het_corr	cadd_05_total_corr	cadd_10_hom_corr	cadd_10_het_corr	cadd_10_total_corr	cadd_25_hom_corr	cadd_25_het_corr	cadd_25_total_corr	cadd_50_hom_corr	cadd_50_het_corr	cadd_50_total_corr
MK_413_ds	Mauritius	early	West	0.457224404	3.36E-05	9.36E-05	1.34E-04	0.000321006	0.00438708	0.005109343	0.013883503	0.00469471	0.004935464	0.014324884	0.002972596	0.005387831	0.011333024	0.034928007	0.03678588	0.106641895	0.056479331	0.050534138	0.1634928	0.161263353	0.129679517	0.452206223	0.618334563	6.75E-05	8.80E-05	0.974226804	1	0.963544304	0.97979798	56041	37448	74765	7	10	12	328	382	519	351	369	535.5	6.26488517	8.949835957	10.73980315	293.5546194	341.8837335	464.4964861	314.1392421	330.2489468	479.2637155	16	29	30.5	188	198	287	304	272	440	868	698	1217	1418	1205	2020.5	3966	2833	5382.5	13.78620256	24.98749215	26.27994864	161.9878801	170.6042567	247.2900085	261.9378487	234.3654436	379.1205705	747.901489	601.4230868	1048.613032	1221.802202	1038.273381	1740.938892
MK_421_ds	Mauritius	early	West	0.407582817	3.31E-05	1.08E-04	1.55E-04	0.000371227	0.004392851	0.004532061	0.013317763	0.004269109	0.004795013	0.013333231	0.003255562	0.005642973	0.012154097	0.034943028	0.039934889	0.109820944	0.057080846	0.052740098	0.16690179	0.167986978	0.143027672	0.479001628	0.674459655	5.78E-05	1.02E-04	0.966480447	1	0.966804979	0.97826087	48275	32751	64650.5	7	10	12	284	293	430.5	276	310	431	7.245019601	10.350028	12.4200336	293.9407952	303.2558204	445.5687055	285.6607728	320.850868	446.0862069	15	26	28	161	184	253	263	243	384.5	774	659	1103.5	1210	1076	1748	3259	2697	4607.5	15.09852861	26.17078293	28.18392008	162.0575405	185.2086177	254.6618493	264.727535	244.5961635	387.0256168	779.0840765	663.3286904	1110.748422	1217.947975	1083.067786	1759.481868
MK_43_ds	Mauritius	early	West	0.296980503	4.34E-05	6.84E-05	1.37E-04	0.000273751	0.00399677	0.005256026	0.013249566	0.004215771	0.005379214	0.013810756	0.003019723	0.005850712	0.011890158	0.027932434	0.044163442	0.10002831	0.046050769	0.066622629	0.158724167	0.13834104	0.190053789	0.466735869	0.528086453	6.49E-05	9.20E-05	0.989304813	1	0.980412917	0.987179487	51707	42704	73059	5	10	10	292	384	484	308	393	504.5	4.579411745	9.158823489	9.158823489	267.4376459	351.698822	443.2870569	282.0917635	359.9417631	462.062645	16	31	31.5	148	234	265	244	353	420.5	733	1007	1236.5	1192	1580	1982	3275	4047	5298.5	14.00476272	27.13422778	27.57187661	129.5440552	204.8196548	231.9538826	213.5726315	308.9800776	368.0626703	641.5931923	881.424754	1082.305569	1043.354823	1382.970319	1734.839982
MK_446_ds	Mauritius	early	West	0.353544756	3.54E-05	9.21E-05	2.00E-04	0.000383662	0.004220283	0.005908397	0.014348963	0.004511867	0.006215327	0.015239061	0.003449391	0.005174086	0.012072868	0.036434192	0.04570443	0.118572814	0.06187345	0.056914951	0.180661851	0.161690202	0.153497898	0.476878302	0.646828606	5.61E-05	1.00E-04	0.957055215	1	0.967871486	0.995283019	47727	34869	65161.5	6	13	12.5	275	385	467.5	294	405	496.5	6.161317514	13.34952128	12.83607815	282.3937194	395.3512071	480.069323	301.9045582	415.8889322	509.8490243	16	24	28	169	212	275	287	264	419	750	712	1106	1237	1158	1816	3116	3045	4638.5	15.99746368	23.99619552	27.99556145	168.9732102	211.9663938	274.9564071	286.9545048	263.9581508	418.9335802	749.8811101	711.8871339	1105.824677	1236.803911	1157.816434	1815.712128
MK_591782_ds	Mauritius	early	West	0.403111742	3.41E-05	1.03E-04	1.17E-04	0.000322186	0.004408093	0.005272137	0.014088323	0.004437382	0.005975089	0.014849853	0.003909867	0.005967692	0.013787427	0.030455808	0.042596975	0.103508591	0.049387797	0.050622492	0.149398086	0.157629386	0.140137874	0.455396646	0.645199156	5.89E-05	9.61E-05	0.964705882	1	0.97880647	1	50744	35079	68283.5	7	8	11	301	360	481	303	408	507	6.859550839	7.839486673	10.77929418	294.9606861	352.7769003	471.3491362	296.9205577	399.8138203	496.8274679	19	29	33.5	148	207	251.5	240	246	363	766	681	1106.5	1243	1105	1795.5	3425	2869	4859.5	18.13304443	27.67675203	31.97142044	141.2468724	197.5547472	240.024246	229.0489823	234.7752068	346.4365857	731.0480018	649.9264872	1056.011245	1186.282854	1054.579689	1713.572699
MK_591798_ds	Mauritius	early	West	0.362200407	3.63E-05	7.85E-05	1.96E-04	0.000353288	0.004396467	0.005417076	0.01421001	0.004331044	0.00590121	0.014563298	0.002813222	0.004219833	0.009846278	0.032352055	0.039987943	0.104692053	0.057269165	0.055862554	0.170400884	0.154325329	0.156334773	0.464985431	0.645743925	5.99E-05	1.02E-04	0.988505747	1	0.971444569	0.984924623	55629	41592	76425	6	15	13.5	336	414	543	331	451	556.5	5.253263869	13.13315967	11.8198437	294.1827767	362.475207	475.4203801	289.8050568	394.8703341	487.2402238	14	21	24.5	161	199	260.5	285	278	424	768	778	1157	1313	1232	1929	3424	3105	4976.5	13.04706237	19.57059355	22.83235915	150.0412173	185.4546723	242.7685534	265.6009125	259.0773813	395.1396032	715.7245643	725.0438945	1078.246512	1223.628064	1148.141489	1797.698808
MK_594332_ds	Mauritius	early	East	0.381374722	3.61E-05	6.59E-05	1.32E-04	0.00026371	0.004074313	0.005551087	0.013699713	0.004456692	0.005841168	0.014754552	0.003004614	0.005150767	0.011159996	0.029616912	0.043352291	0.102586114	0.053653826	0.053868441	0.161176093	0.164609937	0.144650714	0.473870588	0.662063542	6.15E-05	1.07E-04	0.975903614	0.958333333	0.979314421	0.985148515	55415	40852	75841	5	10	10	309	421	519.5	338	443	559.5	4.411429737	8.822859473	8.822859473	272.6263577	371.4423838	458.3475496	298.2126502	390.8526747	493.6389875	14	24	26	138	202	239	250	251	375.5	767	674	1104	1210	1192	1806	3287	2745	4659.5	13.93469383	23.88804656	25.87871711	137.3562677	201.0577252	237.8851303	248.8338183	249.8291536	373.7483951	763.4221546	670.8559742	1098.850142	1204.355681	1186.439646	1797.575504
MK_594337_ds	Mauritius	early	East	0.373301775	3.72E-05	1.05E-04	9.20E-05	0.0003022	0.004204524	0.005492159	0.013901207	0.004822063	0.005584133	0.015228259	0.002900352	0.006007872	0.011808577	0.032111042	0.039569091	0.103791175	0.058007044	0.048891651	0.164905739	0.15537601	0.145224777	0.455976797	0.649881106	6.31E-05	1.06E-04	0.97515528	0.965517241	0.970114943	0.994764398	55380	41457	76108.5	8	7	11.5	320	418	529	367	425	579.5	7.03347968	6.15429472	10.11062704	281.3391872	367.4993133	465.0888438	322.6608803	373.653608	509.4876843	14	29	28.5	155	191	250.5	280	236	398	750	701	1100.5	1245	1155	1822.5	3381	2892	4827	13.451151	27.8630985	27.38270025	148.9234575	183.5121315	240.6795233	269.02302	226.747974	382.397007	720.5973751	673.5183466	1057.356548	1196.191643	1109.719958	1751.051621
MK_594338_ds	Mauritius	early	East	0.409331965	3.46E-05	1.22E-04	9.45E-05	0.000337626	0.004605214	0.005239951	0.014450379	0.004875315	0.005645101	0.015395731	0.003969129	0.003748622	0.01168688	0.034840132	0.035722161	0.105402426	0.054024256	0.050716648	0.15876516	0.161631753	0.140463065	0.463726571	0.68758692	6.27E-05	1.11E-04	0.96875	0.941176471	0.965686275	0.944444444	54973	38147	74046.5	9	7	12.5	341	388	535	361	418	570	8.13301151	6.325675619	11.29584932	308.1507694	350.6231629	483.4623509	326.2241283	377.7332012	515.090729	18	17	26.5	158	162	239	245	230	360	733	637	1051.5	1247	1091	1792.5	3356	2358	4535	18.40788637	17.38522602	27.10049938	161.5803359	165.6709774	244.4158246	250.5517868	235.2118814	368.1577275	749.6100396	651.4346456	1075.327362	1275.257462	1115.722446	1833.118685
MK_594341_ds	Mauritius	early	East	0.357605255	3.47E-05	1.06E-04	1.98E-04	0.000409236	0.003881137	0.00541247	0.013174744	0.004158361	0.005900912	0.014217634	0.002683063	0.004695361	0.010061487	0.029737283	0.03979877	0.099273337	0.052766909	0.052766909	0.158300727	0.152263835	0.157406372	0.461934042	0.654804838	5.56E-05	1.01E-04	0.981927711	1	0.978520286	0.988764045	53823	43856	75751	8	15	15.5	294	410	499	315	447	538.5	7.066673552	13.25001291	13.69168001	259.700253	362.1670195	440.7837628	278.2502711	394.8503847	475.6754635	12	21	22.5	133	178	222	236	236	354	681	704	1033	1084	1100	1634	3011	2923	4472.5	12.44341564	21.77597738	23.33140433	137.9145234	184.5773321	230.2031894	244.7205077	244.7205077	367.0807615	706.1638378	730.0137178	1071.170697	1124.055213	1140.646434	1694.37843
